music #,name,performer,time,price,venue
Rock,Dahlia Artery紫色动脉 2021「Purple Pieces紫色碎片」巡演,艺人：Dahlia Artery 紫色动脉/恶魔工人Akuei,时间：2021/10/16 20:30,价格：¥80起,[上海]育音堂（凯旋店）
Rock,Kile绮丽偶像日 Vol.2,艺人：Ouroboros/DJ HOMEDA/凌晨12点/花生一夏/STARWINK少女队,时间：2021/10/24 12:00,价格：¥108起,[上海]上海 MAO Livehouse
Rock,与死去爱人共舞 ——— The Molds“ Dancing With The Dead Lover ” 巡演 上海站,艺人：The Molds,时间：2021/10/24 20:30,价格：¥90起,[上海]上海 MAO Livehouse
Rock,1701｜野外合作社「幸运的宝儿」2021 巡演 上海站,艺人：野外合作社,时间：2021/10/28 20:30,价格：¥150,[上海]上海 MAO Livehouse
Rock,鹿岛漫车「在有你的城市」巡演 上海站,艺人：鹿岛漫车,时间：2021/10/28 20:30,价格：¥80起,[上海]育音堂（凯旋店）
Rock,布衣乐队《八宝茶》巡演 上海站,艺人：布衣乐队,时间：2021/10/29 20:30,价格：¥110起,[上海]上海 MODERNSKY LAB
Rock,Hollow Cull 万圣节狂欢,艺人：Prajna Seashores/RayDio/Full Throttle,时间：2021/10/30 20:00,价格：¥60起,[上海]LOFAS
Rock,Overheat Fes. Halloween Special,艺人：Ouroboros/BLOOM乐队/DJ HOMEDA/凌晨12点/CKS/花生一夏/究極Ultima/STARWINK少女队,时间：2021/10/31 13:30,价格：¥98起,[上海]LOFAS
Rock,2021未卜乐队 [ 就这 ] 地球巡演-上海站,艺人：未卜乐队,时间：2021/10/31 20:30,价格：¥80起,[上海]育音堂（凯旋店）
Rock,10.31 歌之初乐队2021“路过你的青春” 上海站,艺人：歌之初乐队,时间：2021/10/31 20:30,价格：¥80起,[上海]育音堂音乐公园
Rock,[全场畅饮] 万圣节魔仙堡「贞心实意」变装派对 上海站,艺人：Receiver收件人乐队/dj恒横衡/DJ多面体akaEastman/MC螳少,时间：2021/10/31 21:00,价格：¥180起,[上海]上海 MAO Livehouse
Rock,打扰一下乐团「世界不会轻易崩塌2.0」2021巡演 上海站,艺人：打扰一下乐团,时间：2021/11/06 20:00,价格：¥168起,[上海]瓦肆 VAS SHANGHAI
Rock,大粉「梦如浪潮」2021巡演 上海站,艺人：大粉乐队,时间：2021/11/06 20:30,价格：¥80起,[上海]育音堂（凯旋店）
Rock,“每一颗行星都是你”理想后花园2021年巡回-秋冬篇 上海站,艺人：理想后花园乐队,时间：2021/11/12 20:30,价格：¥99起,[上海]上海 MAO Livehouse
Rock,【秀动呈献】闫泽欢2021「五官派对」巡演 上海站,艺人：闫泽欢,时间：2021/11/13 20:00,价格：¥150起,[上海]育音堂音乐公园
Rock,熊猫眼乐队<对号入座>2021新专辑巡演 上海站,艺人：熊猫眼乐队,时间：2021/11/14 20:30,价格：¥80起,[上海]育音堂（凯旋店）
Rock,bRoKeN破碎乐队2021巡演《404》 上海站,艺人：破碎乐队,时间：2021/11/14 20:30,价格：¥100起,[上海]上海 MAO Livehouse
Rock,西游乐队2021巡演 上海站,艺人：西游乐队,时间：2021/11/18 20:30,价格：¥120起,[上海]育音堂（凯旋店）
Rock,结冰水+报警alarm+海德薇「浪漫夏日」2021联合巡演 上海站,艺人：报警alarm乐队/结冰水/海德薇乐队The HeDwiG,时间：2021/11/20 20:00,价格：¥130起,[上海]上海 MAO Livehouse
Rock,“身价百倍”发梦茱莉2021同名专辑巡演 上海站,艺人：发梦茱莉,时间：2021/11/26 20:30,价格：¥100起,[上海]万代南梦宫上海文化中心 2F未来剧场